Cnic,Time
42100-789843-2,14:59:56
42102-6786790-2,14:59:56
42100-789843-2,14:59:56
42100-789843-2,14:59:56
42100-789843-2,14:59:56
42100-789843-2,14:59:56
42100-789843-2,14:59:56
42100-789843-2,14:59:56
42100-789843-2,14:59:56
42100-789843-2,14:59:56
42100-789843-2,14:59:56
42100-789843-2,14:59:57
42100-789843-2,14:59:57
42100-789843-2,14:59:57
42100-789843-2,14:59:57
42100-789843-2,14:59:57
42100-789843-2,14:59:57
42100-789843-2,14:59:57
42100-789843-2,14:59:57
42100-789843-2,14:59:57
42102-6786790-2,15:00:39
42102-6786790-2,15:00:39
42102-6786790-2,15:00:39
42102-6786790-2,15:00:39
42102-6786790-2,15:00:39
42102-6786790-2,15:00:39
42102-6786790-2,15:00:40
42102-6786790-2,15:00:40
42102-6786790-2,15:00:40
42102-6786790-2,15:00:40
42102-6786790-2,15:00:49
42102-6786790-2,15:00:49
42102-6786790-2,15:00:49
42102-6786790-2,15:00:49
42102-6786790-2,15:00:49
42102-6786790-2,15:00:49
42102-6786790-2,15:00:49
42102-6786790-2,15:00:50
42100-789843-2,15:00:50
42102-6786790-2,15:00:50
42102-6786790-2,15:00:50
42102-6786790-2,15:00:50
42102-6786790-2,15:00:50
42101-1432277-2,15:04:44
42101-1432277-2,15:04:45
42101-1432277-2,15:04:45
42101-1432277-2,15:04:45
42101-1432277-2,15:04:45
42101-1432277-2,15:04:45
42101-1432277-2,15:04:45
42101-1432277-2,15:04:45
42101-1432277-2,15:04:45
42101-1432277-2,15:04:45
42101-1432277-2,15:04:46
42101-1432277-2,15:04:46
42101-1432277-2,15:04:46
42101-1432277-2,15:04:46
42101-1432277-2,15:04:46
42101-1432277-2,15:04:46
42101-1432277-2,15:04:46
42101-1432277-2,15:04:46
42101-1432277-2,15:04:46
42101-1432277-2,15:04:46
42101-1432277-2,15:04:47
42101-1432277-2,15:04:47
42101-1432277-2,15:04:47
42101-1432277-2,15:04:47
42101-1432277-2,15:04:47
42101-1432277-2,15:04:47
42101-1432277-2,15:04:47
42101-1432277-2,15:04:47
42101-1432277-2,15:04:47
42101-1432277-2,15:04:47
42101-1432277-2,15:04:48
42101-1432277-2,15:04:48
42101-1432277-2,15:04:48
42101-1432277-2,15:04:48
42101-1432277-2,15:04:48
42101-1432277-2,15:04:48
42101-1432277-2,15:04:48
42101-1432277-2,15:04:48
42101-1432277-2,15:04:48
42101-1432277-2,15:04:48
42101-1432277-2,15:04:48
42101-1432277-2,15:04:49
42101-1432277-2,15:04:49
42101-1432277-2,15:04:49
42101-1432277-2,15:04:49
42101-1432277-2,15:04:49
42101-1432277-2,15:04:49
42101-1432277-2,15:04:49
42101-1432277-2,15:04:49
42101-1432277-2,15:04:49
42102-6786790-2,15:04:51
42102-6786790-2,15:04:51
42102-6786790-2,15:04:51
42102-6786790-2,15:04:51
42102-6786790-2,15:04:51
42102-6786790-2,15:04:51
42102-6786790-2,15:04:51
42102-6786790-2,15:04:52
42102-6786790-2,15:04:52
42100-789843-2,15:04:52
42100-789843-2,15:04:52
42100-789843-2,15:04:52
42100-789843-2,15:04:52
42102-6786790-2,15:04:52
42102-6786790-2,15:04:52
42102-6786790-2,15:04:52
42102-6786790-2,15:04:52
42102-6786790-2,15:04:52
42102-6786790-2,15:04:53
42100-789843-2,15:04:53
42100-789843-2,15:04:53
42100-789843-2,15:04:53
42100-789843-2,15:04:53
42100-789843-2,15:04:53
42100-789843-2,15:04:53
42100-789843-2,15:04:53
42100-789843-2,15:04:53
42100-789843-2,15:04:53
42100-789843-2,15:04:54
42100-789843-2,15:04:54
42100-789843-2,15:04:54
42100-789843-2,15:04:54
42100-789843-2,15:04:54
42100-789843-2,15:04:54
42100-789843-2,15:04:54
42100-789843-2,15:04:54
42100-789843-2,15:04:54
42100-789843-2,15:04:54
42100-789843-2,15:04:54
42100-789843-2,15:04:55
42100-789843-2,15:04:55
42100-789843-2,15:04:55
42100-789843-2,15:04:55
42100-789843-2,15:04:55
42100-789843-2,15:04:55
42100-789843-2,15:04:55
42100-789843-2,15:04:55
42100-789843-2,15:04:55
42100-789843-2,15:04:55
42100-789843-2,15:04:56
42100-789843-2,15:04:57
42100-789843-2,15:04:57
42100-789843-2,15:04:57
42100-789843-2,15:04:57
42100-789843-2,15:04:57
42100-789843-2,15:04:57
42100-789843-2,15:04:57
42100-789843-2,15:04:57
42100-789843-2,15:04:58
42100-789843-2,15:04:58
42100-789843-2,15:04:58
42100-789843-2,15:04:58
42100-789843-2,15:04:58
42102-6786790-2,15:04:58
42102-6786790-2,15:04:58
42102-6786790-2,15:04:58
42102-6786790-2,15:04:58
42102-6786790-2,15:04:58
42102-6786790-2,15:04:58
42101-1432277-2,15:05:01
42101-1432277-2,15:05:01
42101-1432277-2,15:05:01
42101-1432277-2,15:05:01
42101-1432277-2,15:05:01
42101-1432277-2,15:05:02
42101-1432277-2,15:05:02
42101-1432277-2,15:05:02
42101-1432277-2,15:05:02
42101-1432277-2,15:05:02
42101-1432277-2,15:05:02
42101-1432277-2,15:05:02
42101-1432277-2,15:05:02
42101-1432277-2,15:05:02
42101-1432277-2,15:05:02
42101-1432277-2,15:05:03
42101-1432277-2,15:05:03
42101-1432277-2,15:05:03
42101-1432277-2,15:05:03
42101-1432277-2,15:05:03
42101-1432277-2,15:05:03
42101-1432277-2,15:05:03
42101-1432277-2,15:05:03
42101-1432277-2,15:05:03
42101-1432277-2,15:05:03
42101-1432277-2,15:05:03
42101-1432277-2,15:05:04
42101-1432277-2,15:05:04
42101-1432277-2,15:05:04
42101-1432277-2,15:05:04
42101-1432277-2,15:05:04
42101-1432277-2,15:05:04
42100-789843-2,15:05:06
42100-789843-2,15:05:06
42100-789843-2,15:05:06
42100-789843-2,15:05:06
